Time,Target,Pressure,PWM
0.000,35.0,-1.36,0
0.020,35.0,-1.36,0
0.040,35.0,-1.31,0
0.060,35.0,-1.41,255
0.081,35.0,-1.19,255
0.101,35.0,-0.30,255
0.121,35.0,0.56,255
0.141,35.0,1.29,255
0.161,35.0,1.29,255
0.181,35.0,2.09,255
0.201,35.0,2.83,255
0.221,35.0,3.56,255
0.242,35.0,4.23,255
0.262,35.0,4.90,255
0.282,35.0,5.59,255
0.302,35.0,6.30,255
0.322,35.0,6.99,255
0.343,35.0,7.62,255
0.363,35.0,8.18,255
0.383,35.0,8.76,255
0.403,35.0,9.42,255
0.423,35.0,10.05,255
0.444,35.0,10.52,255
0.464,35.0,11.07,255
0.484,35.0,11.69,255
0.504,35.0,12.13,255
0.524,35.0,12.64,255
0.544,35.0,13.27,255
0.565,35.0,13.69,255
0.585,35.0,14.14,255
0.605,35.0,14.68,255
0.625,35.0,15.10,255
0.645,35.0,15.53,255
0.665,35.0,15.53,255
0.685,35.0,16.06,255
0.705,35.0,16.39,255
0.726,35.0,16.83,255
0.746,35.0,17.27,255
0.766,35.0,17.59,255
0.786,35.0,18.10,255
0.806,35.0,18.43,255
0.827,35.0,18.80,255
0.847,35.0,19.16,255
0.867,35.0,19.49,255
0.887,35.0,19.89,255
0.907,35.0,20.13,255
0.927,35.0,20.53,255
0.947,35.0,20.79,255
0.967,35.0,21.16,255
0.987,35.0,21.49,255
1.008,35.0,21.73,255
1.028,35.0,22.06,255
1.048,35.0,22.29,255
1.068,35.0,22.58,255
1.088,35.0,22.86,255
1.108,35.0,23.11,255
1.128,35.0,23.40,255
1.149,35.0,23.59,255
1.170,35.0,23.87,255
1.191,35.0,24.06,255
1.212,35.0,24.39,255
1.232,35.0,24.39,255
1.252,35.0,24.55,255
1.272,35.0,24.76,255
1.292,35.0,24.99,255
1.313,35.0,25.13,255
1.333,35.0,25.44,255
1.353,35.0,25.56,255
1.373,35.0,25.79,255
1.394,35.0,25.94,255
1.414,35.0,26.04,255
1.434,35.0,26.31,255
1.454,35.0,26.43,255
1.474,35.0,26.54,255
1.494,35.0,26.70,255
1.514,35.0,26.91,255
1.535,35.0,27.04,255
1.555,35.0,27.19,255
1.575,35.0,27.37,255
1.595,35.0,27.41,255
1.615,35.0,27.62,255
1.636,35.0,27.69,255
1.656,35.0,27.82,255
1.676,35.0,27.97,255
1.696,35.0,27.97,255
1.716,35.0,27.97,255
1.736,35.0,28.16,255
1.757,35.0,28.23,255
1.777,35.0,28.34,255
1.797,35.0,28.48,255
1.817,35.0,28.51,255
1.838,35.0,28.64,255
1.858,35.0,28.68,255
1.878,35.0,28.80,255
1.899,35.0,28.85,255
1.919,35.0,28.91,255
1.939,35.0,29.04,255
1.959,35.0,29.07,255
1.979,35.0,29.15,255
1.999,35.0,29.24,255
2.020,35.0,29.24,255
2.040,35.0,29.39,255
2.060,35.0,29.39,255
2.080,35.0,29.43,255
2.101,35.0,29.57,255
2.121,35.0,29.55,255
2.141,35.0,29.66,255
2.161,35.0,29.63,255
2.181,35.0,29.76,255
2.201,35.0,29.83,255
2.221,35.0,29.80,255
2.242,35.0,29.88,255
2.262,35.0,29.88,255
2.282,35.0,29.89,255
2.302,35.0,29.94,255
2.322,35.0,30.02,79
2.342,35.0,29.96,255
2.363,35.0,29.96,255
2.383,35.0,29.99,255
2.403,35.0,30.03,79
2.423,35.0,30.03,109
2.443,35.0,29.96,255
2.463,35.0,29.86,255
2.484,35.0,29.92,255
2.504,35.0,29.90,255
2.524,35.0,29.98,255
2.544,35.0,29.97,255
2.564,35.0,30.04,79
2.584,35.0,30.05,108
2.604,35.0,29.97,255
2.624,35.0,29.86,255
2.644,35.0,29.86,255
2.665,35.0,29.96,255
2.685,35.0,29.94,255
2.705,35.0,30.03,255
2.725,35.0,30.01,79
2.745,35.0,30.01,109
2.765,35.0,29.93,255
2.786,35.0,29.82,255
2.806,35.0,29.87,255
2.826,35.0,29.89,255
2.846,35.0,29.94,255
2.866,35.0,29.96,255
2.887,35.0,29.96,255
2.907,35.0,30.04,79
2.927,35.0,30.03,109
2.947,35.0,29.99,255
2.967,35.0,29.87,255
2.988,35.0,29.96,255
3.008,35.0,29.91,255
3.028,35.0,29.93,255
3.048,35.0,29.97,255
3.068,35.0,30.03,79
3.088,35.0,30.06,108
3.108,35.0,29.96,108
3.128,35.0,29.88,255
3.149,35.0,29.86,255
3.169,35.0,29.89,255
3.189,35.0,29.96,255
3.209,35.0,29.96,255
3.229,35.0,29.95,255
3.249,35.0,30.06,78
3.270,35.0,30.03,109
3.290,35.0,29.89,255
3.310,35.0,29.86,255
3.330,35.0,29.83,255
3.350,35.0,29.94,255
3.370,35.0,29.93,255
3.391,35.0,30.00,79
3.411,35.0,29.96,255
3.431,35.0,29.92,255
3.451,35.0,29.99,255
3.471,35.0,30.04,79
3.492,35.0,30.02,109
3.512,35.0,29.92,255
3.532,35.0,29.80,255
3.552,35.0,29.86,255
3.572,35.0,29.83,255
3.592,35.0,29.94,255
3.612,35.0,29.94,255
3.633,35.0,29.98,255
3.653,35.0,30.01,255
3.673,35.0,29.99,79
3.693,35.0,29.94,255
3.714,35.0,29.99,255
3.734,35.0,29.99,255
3.754,35.0,30.02,79
3.775,35.0,30.08,108
3.795,35.0,29.87,255
3.815,35.0,29.86,255
3.835,35.0,29.86,255
3.856,35.0,29.90,255
3.876,35.0,29.96,255
3.896,35.0,29.99,255
3.916,35.0,30.04,79
3.936,35.0,29.98,255
3.957,35.0,29.93,255
3.977,35.0,29.99,255
3.997,35.0,29.96,255
